path,label,label_idx
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8918.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_6186.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5280.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_2268.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0027013.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5074.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0027537.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3735.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0025062.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_2166.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_2312.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_524.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0030421.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_4836.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0032060.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0031644.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3599.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3637.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0027169.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3711.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_9109.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8825.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5825.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0031572.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_2706.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_9084.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8144.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0030380.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/ISIC_0024972.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_432.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5383.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/ISIC_0028352.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_7000.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_1928.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5564.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0033775.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_321.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0029775.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5684.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0028006.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0024798.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/ISIC_0032079.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0033929.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_7516.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0024723.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_9611.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0029457.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0026185.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0026772.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_7270.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_9764.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_1329.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_7378.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5975.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8428.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3594.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0030831.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0032325.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0027096.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0026972.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_1016.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_4860.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3927.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8681.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0028774.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0024641.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_506.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0032761.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8761.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0030581.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_7345.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_4824.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/ISIC_0025835.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_2523.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_8985.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/malignant/melanoma_5044.jpg,malignant,1
/content/drive/MyDrive/Dataset/Dataset/benign/ISIC_0026217.jpg,benign,0
/content/drive/MyDrive/Dataset/Dataset/benign/melanoma_3428.jpg,benign,0
